#Frame   WS_00001[lower] WS_00001[upper]
       1              75             102
       2              84             106
       3              68              89
       4              86             104
       5              94             123
       6             100             125
       7              90             121
       8             100             128
       9             100             126
      10              86             117
      11             101             120
      12              91             122
      13              96             121
      14             103             140
      15             107             145
      16              96             121
      17             101             132
      18             106             133
      19              88             111
      20              89             107
      21              91             115
      22              98             124
      23             106             131
      24              85             105
      25              99             124
      26             101             124
      27              96             128
      28              91             114
      29              92             120
      30             108             130
      31             106             133
      32              90             116
      33              92             123
      34             100             126
      35              90             121
      36             100             131
      37             108             142
      38              93             109
      39              89             112
      40              97             130
      41             102             137
      42             104             134
      43              89             112
      44              88             111
      45              93             112
      46              91             117
      47             102             135
      48              97             127
      49              98             121
      50              97             133
      51              84             115
      52              96             125
      53              88             115
      54              79             117
      55              79             106
      56              91             117
      57              77              98
      58              86             122
      59             103             136
      60             109             134
      61              99             129
      62              98             130
      63              98             131
      64              93             126
      65              94             115
      66              91             121
      67             100             131
      68             105             125
      69             104             128
      70              83             117
      71              96             121
      72             105             128
      73              87             112
      74              88             114
      75             102             124
      76              83             115
      77              82             107
      78              90             118
      79              89             116
      80             102             124
      81              84             112
      82              90             123
      83              92             117
      84              93             121
      85              78             102
      86             101             126
      87              86             109
      88              88             109
      89              96             111
      90              83             105
      91              94             121
      92              76             101
      93             107             134
      94             103             128
      95             119             146
      96              94             129
      97              91             119
      98              87             111
      99             101             130
     100              98             129
